"Story","Title","Result","Date","Stability","Duration (s)"
"Add new student","Add new student","SUCCESS","2020-10-05T16:30:41.044-03:00[America/Sao_Paulo]","0.0","233.12"
"Add new student","Cancel the add action after fill the field(s)","SUCCESS","2020-10-05T16:34:34.174-03:00[America/Sao_Paulo]","0.0","92.35"
"Add new student","Try to add a new student with some empty fields","SUCCESS","2020-10-05T16:36:06.53-03:00[America/Sao_Paulo]","0.0","79.53"
"Add new student","Try to add a student already present in the default list","ERROR","2020-10-05T16:37:26.062-03:00[America/Sao_Paulo]","0.0","60.78"
"Add new student","Try to add the same student twice","SUCCESS","2020-10-05T16:38:26.952-03:00[America/Sao_Paulo]","0.0","32.04"
"Add new student","Try to add the same student twice only changing the code to uppercase","ERROR","2020-10-05T16:38:58.993-03:00[America/Sao_Paulo]","0.0","63.53"
"Login","login successful","SUCCESS","2020-10-05T16:40:02.537-03:00[America/Sao_Paulo]","0.0","18.91"
"Login","Try login with invalid values","SUCCESS","2020-10-05T16:40:21.454-03:00[America/Sao_Paulo]","0.0","147.11"
"Logout","Logout","SUCCESS","2020-10-05T16:42:48.57-03:00[America/Sao_Paulo]","0.0","21.87"
