"Story","Title","Result","Date","Stability","Duration (s)"
"Add new student","Try to add a new student with some empty fields","SUCCESS","2020-10-05T16:36:06.53-03:00[America/Sao_Paulo]","0.0","79.53"
"Add new student","Try to add a student already present in the default list","ERROR","2020-10-05T16:37:26.062-03:00[America/Sao_Paulo]","0.0","60.78"
"Add new student","Try to add the same student twice","SUCCESS","2020-10-05T16:38:26.952-03:00[America/Sao_Paulo]","0.0","32.04"
"Add new student","Try to add the same student twice only changing the code to uppercase","ERROR","2020-10-05T16:38:58.993-03:00[America/Sao_Paulo]","0.0","63.53"
"Login","Try login with invalid values","SUCCESS","2020-10-05T16:40:21.454-03:00[America/Sao_Paulo]","0.0","147.11"
