"Story","Title","Result","Date","Stability","Duration (s)"
"Add new student","Add new student","SUCCESS","2020-10-05T16:30:41.044-03:00[America/Sao_Paulo]","0.0","233.12"
"Add new student","Cancel the add action after fill the field(s)","SUCCESS","2020-10-05T16:34:34.174-03:00[America/Sao_Paulo]","0.0","92.35"
"Add new student","Try to add a new student with some empty fields","SUCCESS","2020-10-05T16:36:06.53-03:00[America/Sao_Paulo]","0.0","79.53"
"Add new student","Try to add the same student twice","SUCCESS","2020-10-05T16:38:26.952-03:00[America/Sao_Paulo]","0.0","32.04"
